Id,Label,Cluster
1,종교,분야
2,빅데이터,기술
3,광화문광장 집회,분야
4,교육,분야
5,블록체인,기술
6,주택 및 부동산,분야
7,사물인터넷,기술
8,공공시설,분야
9,환경,분야
10,인공지능,기술
11,의료,분야
12,에너지,분야
13,VR/AR/MR,기술
14,스포츠,분야
15,청년 및 일자리,분야
16,드론,기술
17,클라우드,기술
18,범죄 및 수사,분야
19,택시 업계,분야
20,문화,분야
21,도시 인프라,분야
22,자율주행,기술
23,근로자 및 임금,분야
24,로봇,기술
25,이동수단,분야
